actor_name 	What are the most relevant _KEYWORD_ in _MOVIE_? 
actor_name 	What _KEYWORD_ entered _MOVIE_? 
character_name 	Which characters were there on _MOVIE_? 
character_name 	What characters can be seen in _MOVIE_? 
spoken_language 	What are the languages spoken in _MOVIE_? 
person_name 	Who was the _KEYWORD_ of _MOVIE_? 
actor_name 	Who starred in _MOVIE_? 
actor_name 	What _KEYWORD_ played the _KEYWORD_ of Jake Sully in _MOVIE_? 
actor_name 	Who entered the movie _MOVIE_? 
actor_name 	What _KEYWORD_ played a _KEYWORD_ in _MOVIE_? 
actor_name 	What _KEYWORD_ starred in _MOVIE_? 
character_name 	What were the characters in _MOVIE_? 
character_name 	What characters entered in _MOVIE_? 
actor_name 	What _KEYWORD_ played Frodo in _MOVIE_? 
actor_name 	Who has played the _KEYWORD_ of James Bond in _MOVIE_? 
character_name 	What was the character that _PEOPLE_ played in _MOVIE_? 
character_name 	What was the _KEYWORD_ played in _MOVIE_ by _PEOPLE_? 
character_name 	What was the role taken by _PEOPLE_ in the movie _MOVIE_? 
character_name 	What role did _PEOPLE_ _KEYWORD_ in _MOVIE_? 
character_name 	Tell me the role played by _PEOPLE_ in _MOVIE_. 
character_name 	What was the role played by _PEOPLE_ in _MOVIE_? 
actor_name 	Who played the _KEYWORD_ of Woody in _MOVIE_? 
actor_name 	Who voiced Papa Smurf in the movie _MOVIE_? 
actor_name 	What _KEYWORD_ played the role of Jake Sully in _MOVIE_? 
actor_name 	What are the _KEYWORD_ that participated with _PEOPLE_ in _MOVIE_? 
actor_name 	Who acted with _PEOPLE_ in _MOVIE_? 
actor_name 	Who acted with _PEOPLE_ in _MOVIE_? 
actor_name 	Which _KEYWORD_ participated in _MOVIE_ along side _PEOPLE_? 
actor_name 	Who acted with _PEOPLE_ in _MOVIE_? 
runtime 	What is the _KEYWORD_ _KEYWORD_ of _MOVIE_? 
runtime 	What is the lenght of the movie _MOVIE_? 
runtime 	How long is the movie _MOVIE_? 
runtime 	What is the _KEYWORD_ _KEYWORD_ of _MOVIE_? 
runtime 	What is the _KEYWORD_ _KEYWORD_ of _MOVIE_? 
runtime 	How long does _MOVIE_ last? 
overview 	What is the overview of _MOVIE_? 
overview 	Give me the overview of _MOVIE_. 
overview 	Overview of _MOVIE_. 
overview 	What's the overview of the movie _MOVIE_? 
overview 	Tell me the overview of _MOVIE_. 
budget 	How much budget did _MOVIE_ have? 
budget 	What was the budget of _MOVIE_? 
budget 	What was _MOVIE_'s budget? 
budget 	Money spent on _MOVIE_? 
budget 	Toy _JOB_ 2 had how much budget? 
original_language 	What is the main language used in the movie _MOVIE_? 
original_language 	What is the most used language in _MOVIE_? 
original_language 	What is the main language in _MOVIE_? 
original_language 	Which idiom was most used on _MOVIE_? 
release_date 	From what _KEYWORD_ is _MOVIE_? 
release_date 	What _KEYWORD_ did the movie _MOVIE_ debut? 
release_date 	In which _KEYWORD_ was _MOVIE_ produced? 
release_date 	In which _KEYWORD_ was _MOVIE_ produced? 
release_date 	In what _KEYWORD_ did _MOVIE_ come out? 
release_date 	On what month was _MOVIE_ released? 
release_date 	In what month did _MOVIE_ make its debut? 
release_date 	Tell me what month was when _MOVIE_ made its debut. 
release_date 	The debut of _MOVIE_ occured in what month? 
release_date 	What is the release _KEYWORD_ of _MOVIE_? 
release_date 	When was _MOVIE_ 2 released? 
release_date 	When was the debut of _MOVIE_? 
release_date 	When did the _MOVIE_ come out on cinemas? 
release_date 	Release _KEYWORD_ of _MOVIE_? 
revenue 	What was the _KEYWORD_ made by the movie _MOVIE_? 
revenue 	What was the revenue of _MOVIE_? 
revenue 	How much _KEYWORD_ did _MOVIE_ generate? 
revenue 	What was the _KEYWORD_ _KEYWORD_ made by _MOVIE_? 
revenue 	How much _KEYWORD_ was made with the movie _MOVIE_? 
original_title 	In what _KEYWORD_ did _PEOPLE_ take _KEYWORD_ as _KEYWORD_? 
original_title 	What _KEYWORD_ did _PEOPLE_ direct? 
original_title 	Which _KEYWORD_ were directed by _PEOPLE_? 
original_title 	What _KEYWORD_ has _PEOPLE_ directed? 
original_title 	Throught his _KEYWORD_, which _KEYWORD_ has _PEOPLE_ directed? 
production_country 	Where was _MOVIE_ _KEYWORD_? 
production_country 	Where was _MOVIE_ produced? 
production_country 	In which _KEYWORD_ was _MOVIE_ _KEYWORD_? 
production_country 	In which countries was _MOVIE_ _KEYWORD_? 
production_country 	In what countries was _MOVIE_ produced? 
production_company 	Which companies produced _MOVIE_? 
production_company 	What companies were responsible for the production of the movie _MOVIE_? 
production_company 	What were the companies that produced _MOVIE_? 
production_company 	What movie companies produced the movie _MOVIE_? 
production_company 	Which companies produced _MOVIE_? 
spoken_language 	Which tongues can be heard in _MOVIE_? 
spoken_language 	During the movie _MOVIE_, what languages are spoken? 
spoken_language 	What are the languages used in _MOVIE_? 
spoken_language 	What languages can be heard in _MOVIE_? 
original_title 	In what _KEYWORD_ does _PEOPLE_ appear? 
original_title 	Tom Hanks took _KEYWORD_ in which _KEYWORD_? 
original_title 	Mr. T entered which _KEYWORD_? 
original_title 	In which _KEYWORD_ did _PEOPLE_ enter? 
